,BA_per,A_HR_per,HBP_per,HRH_per,ISO_per,SLG_per,OBP_per,XBH_diff,TB_per,TOB_per,OPS_per,IP_per,FIP_per,BB9_per,K9_per,GBF_per,ERA_per,DICE_per,HR9_per,WHIP_per,KBB_per,home_team_wins
3027,0.887,0.488,-22.717,-1.39,-0.843,0.262,3.247,6.391,8.699,12.855,1.575,4.888,-31.183,9.294,6.733,0.009,7.24,-11.906,-27.479,1.88,41.638,1
3028,-0.401,-65.597,40.551,39.854,29.531,12.06,5.262,20.567,11.594,7.543,9.145,-2.485,60.143,11.653,-14.526,-0.192,8.034,12.247,16.026,12.508,33.724,1
3029,-5.765,7.374,-9.99,-2.075,-21.512,-10.562,-7.405,-21.525,-10.157,-9.689,-9.14,-2.875,35.643,40.672,3.874,0.219,-7.347,11.595,3.908,31.963,34.879,1
3030,10.154,-13.756,3.714,2.153,6.953,9.031,5.55,-0.881,7.484,3.486,7.496,3.727,-51.12,-52.329,6.355,0.237,-2.321,0.131,12.232,-33.734,56.0,0
3031,-8.518,36.425,13.899,-44.945,-37.758,-18.356,-12.265,-27.734,-18.232,-15.241,-15.672,8.404,-48.279,-17.142,1.976,0.063,-56.539,-0.181,-27.307,-18.964,61.174,0
3032,8.75,-53.484,-19.221,28.597,16.391,11.526,2.24,5.303,11.995,0.977,7.506,-1.368,19.896,-7.252,-11.661,-0.065,-15.492,11.367,14.279,-2.013,48.41,0
3033,-3.5,33.669,-17.637,-45.66,-21.693,-9.754,-5.679,-11.6,-11.465,-8.996,-7.915,3.26,-22.524,-27.32,-4.355,0.135,23.569,-2.989,1.682,-19.445,43.084,1
3034,12.491,2.097,9.101,-16.728,5.533,9.846,10.071,13.699,12.603,13.384,9.944,1.41,-45.718,-9.501,-16.776,0.187,-1.782,-16.017,-43.715,-17.21,41.437,1
3035,7.226,-7.695,-64.506,-0.09,3.429,5.723,4.69,3.604,8.891,7.632,5.284,-6.165,42.992,35.931,5.816,-0.129,37.854,12.272,20.601,32.135,41.811,0
3036,-7.106,37.488,44.454,-49.354,-33.961,-16.171,-10.08,-17.969,-17.22,-13.388,-13.49,-4.226,2.302,2.767,14.266,-0.004,-3.635,10.869,11.608,5.272,57.582,0
3037,0.859,22.519,-90.899,-30.183,-10.081,-3.405,0.477,-4.015,-6.171,-2.619,-1.7,0.01,-136.827,-42.157,2.199,0.165,-52.34,-22.63,-16.325,-34.948,43.478,1
3038,1.785,-3.802,-22.717,1.912,1.369,1.636,3.99,6.084,9.251,12.941,2.673,3.987,-42.332,8.355,6.648,0.001,-40.824,-15.21,-33.241,-0.493,42.382,0
3039,0.805,-68.799,35.304,40.277,30.764,13.406,5.947,21.951,13.064,8.273,10.227,-2.667,62.541,12.616,-13.318,-0.185,11.015,12.23,17.469,13.589,33.58,1
